,APP_NAME,SENSOR_SCORE,VISIBILITY,INTERNATIONALIZATION,KEYWORDS
4,Smashy Road,82,64,59,"['nintendo', 'car', 'chase', 'racing', 'switch', 'simulator', 'arcade', 'police', 'race', 'studio', 'army', 'ganes', 'rider', 'ghost', 'speed', 'entertainment', 'dino', 'orange', 'anonymous', 'alien', 'bluebird', 'gt', '4x4', 'please', 'bazi', 'road', 'hovercraft', 'bb', 'bling', 'icecream', 'five']"
5,Backyard Apollo AR,38,40,67,"['astrology', 'ar', 'pocket', 'space', 'apollo', 'nasa', 'moon', 'model', 'launcher', 'mission', 'isn', 'reality', 'backyard', 'astronaut', 'nightsky', 'pocketbook', 'rocketship', 'joey', 'pocketgod', 'kerbal', 'astrological', 'astrolabe', 'jpl', 'augmented', 'aerospace', 'modelling', 'launching', 'iwm', 'cosmonaut', 'aug']"
6,Suрer Toss The Turtle,63,51,56,"['gun', 'money', 'arcade', 'animal', 'space', 'frag', 'shooter', 'cannon', 'sup', 'ff', 'fire', 'funny', 'gamefly', 'action', 'fly', 'nuke', 'toss', 'slingshot', 'distance', 'casual', 'midway', 'investor', 'mame', 'original', 'tortoise', 'superfly', 'rocketship', 'kerbal', 'cannonball', 'aerospace', 'tossing']"
7,Subway Surfers,100,88,77,"['chrome', 'subway', 'racing', 'dragon', 'juegos', 'run', 'coco', 'skate', 'running', 'panda', 'arcade', 'nick', 'race', 'noon', '3d', 'vector', 'play', 'ganes', 'diablo', 'dash', 'jump', 'rockstar', 'ukulele', 'sup', 'knot', 'jetpack', 'entertainment', 'kim', 'buddy', 'nrc', 'action']"
8,Space Simulator,60,54,60,"['sims', 'sky', 'simulator', 'space', '3d', 'apollo', 'luna', 'nasa', 'flight', 'moon', 'gamefly', 'fly', 'rfs', 'mars', 'shuttle', 'facade', 'metalstorm', 'gamecube', 'fsx', 'rocketship', 'joey', 'ailment', 'kerbal', 'cessna', 'similar', 'jpl', 'aerospace', 'kap', 'itd', '787', 'samsam']"
9,Rocket,0,40,47,"['arcade', 'block', 'space', 'frontier', 'family', 'tap', 'nasa', 'happy', 'perfect', 'universe', 'spaceship', 'midway', 'mame', 'original', 'rocketship', 'kerbal', 'jpl', 'aerospace', 'shipyard', 'mysterious', 'elon', 'shep', 'multiverse', 'rocket', 'inc']"
7,Spaceflight Simulator,76,55,75,"['skyview', 'simulator', 'space', 'play', 'education', 'apollo', 'simple', 'nasa', 'flight', 'science', 'moon', 'made', 'rfs', 'universe', 'launcher', 'falcon', 'iss', 'shuttle', 'facade', 'metalstorm', 'role', 'researcher', 'gamecube', 'fsx', 'rocketship', 'joey', 'kerbal', 'cessna', 'educate', 'similar', 'jpl']"
1,Apollo Space Flight Agency,48,50,69,"['space', 'emulator', 'apollo', 'flight', 'moon', 'rfs', 'launcher', 'spaceship', 'mission', '115', 'metalstorm', 'landing', 'fsx', 'eleven', 'stimulation', 'joey', 'kerbal', 'cessna', 'similar', 'agency', 'aerospace', '787', 'niel', 'launching']"
3,Pocket Lander,30,40,65,"['pocket', 'apollo', 'nasa', 'moon', 'lunar', 'spaceship', 'eagle', 'landing', 'landers', 'joey', 'pocketgod', 'kerbal', 'jpl', 'shipyard', 'shep', 'backspace', 'lander']"
6,Space Simulator,60,54,60,"['sims', 'sky', 'simulator', 'space', '3d', 'apollo', 'luna', 'nasa', 'flight', 'moon', 'gamefly', 'fly', 'rfs', 'mars', 'shuttle', 'facade', 'metalstorm', 'gamecube', 'fsx', 'rocketship', 'joey', 'ailment', 'kerbal', 'cessna', 'similar', 'jpl', 'aerospace', 'kap', 'itd', '787', 'samsam']"
5,Alto's Odyssey,93,46,76,"['discover', 'safari', 'skate', 'sports', 'alto', 'dash', 'jump', 'skateboard', 'ea', 'action', 'odyssey', 'endless', 'ski', 'indie', 'backflip', 'softball', 'jumping', 'desert', 'stunt', 'esky', 'loveland', 'jumblo', 'gliding']"
8,Alto's Adventure,92,44,88,"['snow', 'stickers', 'messages', 'juegos', 'skate', 'sports', 'alto', 'dash', 'jump', 'adventure', 'skateboard', 'ea', 'action', 'odyssey', 'endless', 'ski', 'indie', 'backflip', 'softball', 'jumping', 'extreme', 'stunt', 'cutie', 'snowflake', 'serene', 'sne', 'deporte', 'esky', 'exploring', 'mundial', 'judas']"
9,Odyssey VR,0,40,37,"['vr', 'odyssey', 'onn', 'astoria', 'jaunt']"
0,Aria's Adventures,43,47,41,"['trivia', 'vr', 'onn', 'aria', 'mister', 'advertising', 'branding', 'astoria', 'jaunt', 'ahr', 'adventures']"
2,Super Monkey Ball Bounce,0,53,67,"['super', 'monkey', 'ball', 'bounce']"
3,The Trail,75,63,68,"['sims', 'discover', 'sky', 'petsmart', 'juegos', 'raft', 'simulator', 'survival', 'world', 'simcity', 'journey', 'frontier', 'city', 'pet', 'ganes', 'build', 'rayman', 'adventure', 'dwell', 'odyssey', 'eden', 'trail', 'explore', 'bazi', 'arc', 'durango', 'tow', 'doz', 'oregon', 'mist', 'anno']"
4,Super Mario Run,97,83,74,"['psych', 'mario', 'sky', 'switch', 'run', 'coco', 'arcade', 'inside', 'emulator', 'sega', 'ganes', 'battle', 'rayman', 'jump', 'sup', 'peggle', 'popular', 'partymasters', 'mix', 'action', 'odyssey', 'control', 'bro', 'ani', 'angry', 'brothers', 'soni', 'luigi', 'leprechaun', 'casual', 'oreo']"
5,Ava Airborne,62,51,66,"['sonic', 'cat', 'bendy', 'canon', 'alto', 'journey', 'dash', 'jetpack', 'odyssey', 'joyride', 'trail', 'road', 'ava', 'gravity', 'boris', 'freestyle', 'crossing', 'crossroads', 'ralph', 'amy', 'aventura', 'airborne', 'jumpy', 'nya', 'dedicated', 'cameron', 'jetman', 'interminable', 'glossy', 'defy', 'crp']"
6,Madness Odyssey,0,40,16,"['lifetime', 'infinity', 'odyssey', 'graphic', 'atmosphere', 'unreal', 'madness', 'bemo', 'lig', 'adventureland', 'spacetime', 'graphisme']"
8,Odyssey Companion,57,60,59,"['nintendo', 'mario', 'maps', 'peachy', 'switch', 'emulator', 'adventure', 'sup', 'moon', 'odyssey', 'power', 'mii', 'companion', 'luigi', 'leprechaun', 'oreo', 'guide', 'eshop', 'nso', 'n64', 'exploring', 'campion', 'renewal', 'peachtree']"
